family,exterior_scale,residual,condition,bending,quadrature_relative,gauss_disagreement,integrator,min_speed,min_span,curve_sample_count,hausdorff_sampled,rms_sampled,reference_sample_count
sine,0.25,1.0420009956358582e-16,3.289269655028346,81.85868212821575,2.9512389385897853e-15,2.9512389385897853e-15,gauss96,0.25393499238360395,0.011588572387805529,2528,0.07650085817024944,0.028670802217992442,4097
sine,0.5,1.0128619201572737e-16,3.210586752556971,81.84350239419581,2.604517334819571e-15,2.604517334819571e-15,gauss96,0.3896418021311666,0.023177144775611058,2528,0.07650177494042135,0.028673149250780867,4097
sine,1.0,2.021778902120193e-16,3.151685962050069,81.8286033980263,3.125989864808151e-15,3.125989864808151e-15,gauss96,0.5317220762139278,0.041774396100200395,2528,0.07650274815206724,0.028675619752525246,4097
sine,2.0,2.021778902120193e-16,3.1767044842187957,81.81698137688701,3.4738154539679744e-15,3.4738154539679744e-15,gauss96,0.6502826906115836,0.041774396100200395,2528,0.07650356668774017,0.028677707808592252,4097
sine,4.0,1.0420009956358582e-16,3.849881794029181,81.80943477119318,2.95301551506992e-15,2.95301551506992e-15,gauss96,0.7018897639057895,0.041774396100200395,2528,0.07650413344492481,0.02867914643098803,4097
sine,16.0,1.0108894510600965e-16,14.426885923848157,81.80275245659001,2.779535756622513e-15,2.779535756622513e-15,gauss96,0.701911856902674,0.041774396100200395,2528,0.07650466408245837,0.02868049450829085,4097
sine,64.0,2.0375128273706325e-16,60.700535510603544,81.80092290991965,3.1270476636959418e-15,3.1270476636959418e-15,gauss96,0.7019163486014728,0.041774396100200395,2528,0.07650481487442362,0.028680877168866303,4097
spiral,0.25,1.228744592128752e-16,3.3516641121126876,17.510669112099997,6.08665549452742e-16,6.08665549452742e-16,gauss96,0.1687103436938617,0.006957846293958849,2528,0.006844134346332992,0.0025093498832016122,4097
spiral,0.5,1.2311421448322212e-16,3.2707743892349845,17.477651256276346,8.130872110232081e-16,8.130872110232081e-16,gauss96,0.2601036349305617,0.013915692587917698,2528,0.006847900747263314,0.0025103379354644933,4097
spiral,1.0,6.14372296064376e-17,3.1936428064123086,17.453396495075005,4.071085739446766e-16,4.071085739446766e-16,gauss96,0.35672591208876886,0.027831385175835395,2528,0.006851884644357234,0.0025114127299584506,4097
spiral,2.0,1.228744592128752e-16,3.231228619345954,17.441407992911184,4.073884035330693e-16,4.073884035330693e-16,gauss96,0.4380972319937042,0.027831385175835395,2528,0.006855241315962607,0.0025123236105811827,4097
spiral,4.0,1.228744592128752e-16,3.898121955685387,17.43792352060101,6.112047127520698e-16,6.112047127520698e-16,gauss96,0.4944959814785809,0.027831385175835395,2528,0.006857568692822357,0.002512971330566372,4097
spiral,16.0,1.844716122236467e-16,14.637682659978317,17.438564811468808,4.0745482408781604e-16,4.0745482408781604e-16,gauss96,0.5473429065723001,0.027831385175835395,2528,0.006859759786366022,0.0025135943856065086,4097
spiral,64.0,6.868891087462857e-17,61.55259607280424,17.43948669931253,0.0,0.0,gauss96,0.5623680136541328,0.027831385175835395,2528,0.006860491062310599,0.0025137621980400255,4097
