id,closed,family,seconds,accepted,objective24,evaluations,rejected_candidates,displacement,rho,final_quadrature_relative,base_bending,refined_bending,base_hausdorff_sampled,refined_hausdorff_sampled,base_condition,refined_condition,base_residual,refined_residual,base_quadrature_relative,refined_quadrature_relative
sine_n8_uniform_s0,False,sine,0.05337958900003059,True,0.8897362835206462,37,0,"[-0.030300693923387884, 0.0, 0.029480326718051217, -0.02948032671805126, 0.0, 0.030300693923387856]",0.25,1.094091531152191e-15,102.96066746657657,90.9210794289355,0.03352406006763404,0.03675153313833822,2.989464518913701,3.2826374326980803,5.0424894598731024e-17,1.1275349208102455e-16,4.692753769042106e-15,1.094091531152191e-15
sine_n8_jittered_s0,False,sine,0.052654479000011634,True,0.9261680933436677,37,0,"[-0.025834389706422566, 0.025834389706422566, 0.0, 0.008986884134027276, -0.02925104080018176, 0.02193828060013632]",0.25,2.1977586034083145e-15,98.38330242287573,90.52494013868976,0.11508697359228205,0.11430617014031129,2.9103262779720454,3.1004200503462913,1.1450790662176701e-16,1.1450790662176701e-16,5.199975576631172e-15,2.1977586034083145e-15
sine_n8_clustered_s0,False,sine,0.05987945499998659,True,0.9783278562835527,37,0,"[0.007321646245093633, 0.03352228608094035, 0.0, -0.03148131560590439, 0.02949854998260043, 0.013534673182380372]",0.25,9.944628485095852e-16,36.72358715820199,35.72495125509214,0.12520426779713048,0.12480213737006078,2.940884938847204,3.2105586015113943,2.043950082430992e-16,2.0440220787469367e-16,1.9348402232579964e-15,9.944628485095852e-16
sine_n16_uniform_s0,False,sine,0.0964739780000059,True,0.966072295757696,85,0,"[0.015196170800284028, 0.014510847899096027, 0.006793172552101705, 0.006793172552101705, 0.0033440820683083225, 0.01337632827323329, 0.009696986853867585, -0.009696986853867592, -0.01337632827323329, -0.0033440820683083225, -0.006793172552101712, -0.006793172552101712, -0.014510847899096013, -0.015196170800284015]",0.25,7.136584007531573e-16,165.83093499946995,159.30147757195454,0.003507804131695954,0.00387290737524499,3.0688166912435872,3.3776866800429723,1.0374449668676892e-16,2.013231941765131e-16,1.7138967123652082e-15,7.136584007531573e-16
sine_n16_jittered_s0,False,sine,0.09835277700000233,True,0.9186659426814189,85,0,"[-0.015166177022745354, 0.015166177022745354, -0.0035817999226380633, 0.0, 0.01275810463761276, 0.01190979079077175, -0.020225271511414955, -0.010829920870436605, -0.004868905294496378, 0.009737810588992757, 0.0124183381469333, -0.009050951177880961, 0.006788213383410721, 0.0]",0.25,3.475953755478186e-16,179.32787883168018,163.53330009417252,0.008291664630166437,0.014940029463227849,3.560234727003356,4.693066509109226,2.0193594554615964e-16,7.139065725100925e-17,9.50941134716071e-16,3.475953755478186e-16
sine_n16_clustered_s0,False,sine,0.10502727299996195,True,0.9350281902071995,85,0,"[0.0, -0.017394131124395838, -0.01154920781853095, 0.015398943758041267, 0.021205005330735938, -0.006675252584730097, 0.004691422149890066, -0.007071285285323831, -0.013217370770461229, 0.006608685385230614, -0.005221799512525049, -0.0026108997562625247, 0.0, 0.0]",0.25,2.0516910957158627e-15,81.8286033980263,76.19051532349712,0.07650274815206724,0.07524757419332755,3.151685962050069,3.745943438221189,2.021778902120193e-16,2.0840019912717164e-16,3.125989864808151e-15,2.0516910957158627e-15
spiral_n8_uniform_s0,False,spiral,0.06606907999997702,True,0.9988091545364806,37,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.020544512565594877]",0.25,2.3654135360255913e-16,15.043604071527756,15.019418907908305,0.016397774180595178,0.014182358593953831,2.808558395217574,2.8743573883066333,6.237408466103205e-17,6.97363466681973e-17,4.723221459310455e-16,2.3654135360255913e-16
spiral_n8_jittered_s0,False,spiral,0.049557563000007576,True,0.9584631990326266,37,0,"[-0.02541555699229966, 0.02541555699229966, -0.024738401343033962, 0.013948192766466937, -0.006974096383233468, 0.03995433197330797]",0.25,0.0,17.269479287712226,16.440543642248574,0.08909129532476161,0.0788220340126809,2.9739601250504615,3.346529190268929,6.833629686468655e-17,6.833629686468655e-17,6.171663232478065e-16,0.0
spiral_n8_clustered_s0,False,spiral,0.04930331599996407,True,0.9543322151316908,37,0,"[0.0037765298015103766, 0.02935020152733006, -0.050393589119181084, -0.04484387871534967, -0.029938465820108895, 0.0]",0.25,4.265860930302164e-16,17.578460822865953,16.6564908554056,0.03176921170343901,0.021137420743804917,3.2624046325533316,4.052231632467484,6.665065899314434e-17,6.665065899314434e-17,1.0105303628686174e-15,4.265860930302164e-16
spiral_n16_uniform_s0,False,spiral,0.10295863300001429,True,0.9977235601872897,85,0,"[-0.006123996748356647, -0.003245300546393135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004883150773669992, 0.010015117937443113]",0.25,2.1380352204400775e-16,16.662090874119745,16.616721954979003,0.0035328378135550042,0.0031041574862862523,2.9493392948449726,2.9872209416018456,6.770208795971381e-17,6.770208795971381e-17,2.1322136013066188e-16,2.1380352204400775e-16
